,data_size,data_id,mini_batch,n_conditions,cosine_shift,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
32,100,2,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.2656888239567794,"[-0.00633739  0.06017587  0.39434904  0.13644104  0.13939105 -0.1920997
 -0.22942275 -0.14801249  0.21872064  0.19140236]",0.16843134200186577,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999966214
33,100,3,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.2009632586270369,"[ 0.14827266  0.06792203  0.15386783 -0.26790965  0.07451795  0.17845625
  0.04881939  0.01155413 -0.01546551  0.20874332]",0.14569273943505978,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999990552
34,100,4,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.1495674637030604,"[-0.10195382 -0.20810935 -0.26042044 -0.1369114  -0.10595387 -0.05007187
 -0.04349764  0.16216451 -0.01710111  0.01716645]",0.12483716991684764,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999989566
35,100,5,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.14138550915961834,"[ 0.14533757  0.09845681  0.16348484 -0.18046656  0.08919595  0.0327955
 -0.09204081 -0.01697272  0.05476729  0.06573997]",0.12087209902641455,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999992577
36,100,6,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.11576513311433434,"[-0.06543158 -0.02578552  0.06466165 -0.13338679  0.1039672  -0.00644454
 -0.14910987  0.14391866  0.1351523  -0.09904946]",0.10932101101010526,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999993088
37,100,7,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.24257881179956975,"[-0.11734468  0.03642543  0.1941083   0.08082266  0.01512103  0.22530818
  0.15330169 -0.14459455 -0.13107562  0.05511447]",0.16096786298714647,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999989495
38,100,8,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.05859586004209261,"[-0.0025467   0.17145315 -0.01605615 -0.01430072  0.04480498  0.1513079
  0.10296799  0.04727043 -0.08249988  0.16957657]",0.0772091950025904,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999994664
39,100,9,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.15649186379114832,"[-0.15374507  0.08199528  0.11427985  0.11497696  0.12506081  0.1280674
 -0.3043603   0.3031257  -0.03699781 -0.08605667]",0.1272152233700873,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.009999999997572
40,100,0,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.07639026025502771,"[ 0.18174013 -0.00363435  0.03040873  0.14625052  0.08077772  0.08968953
  0.1377838  -0.17022349 -0.06932426  0.09263811]",0.08803679755324179,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999990827
41,100,1,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.06842760136583248,"[-0.07003701  0.06128698  0.08383797  0.18719728 -0.0449195   0.03683145
  0.11246342 -0.04491436 -0.00056878 -0.17257324]",0.08372709886612907,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999997156
42,100,2,10,1,0,3.0,"[0.5, 0.22073282301425934, 0.27926719188690186]",0.1988527552057131,"[-0.02257139  0.06739888  0.24855113  0.10224662  0.06476655 -0.1810765
 -0.22967911 -0.10417306  0.2803272   0.18656662]",0.14452294670564148,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999985898
