,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local
45,16,45,1,1,1,0,5390.0,[-0.31883544 -0.10121804 -0.14896482],"[-0.20492482  0.37910977 -0.18084124 -0.6372616  -0.09701103 -0.17677617
 -0.03245568 -0.04523808 -0.52180886 -0.2696188  -0.65088785 -0.05749288
  0.3528327   0.5059972  -0.18045601  0.3341293 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
46,16,46,1,1,1,0,5390.0,[ 0.4013149  -0.37312338 -0.27363658],"[ 0.8280037  -0.27400684  0.23908758 -0.2549302  -0.36631072  0.6111643
 -0.07424486  0.13489598  0.40593758  0.20844424 -0.17915606 -0.39664605
  0.25930095  0.06042081 -0.70838916 -0.6175653 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
47,16,47,1,1,1,0,5390.0,[ 1.948063   -0.74220645 -0.753302  ],"[-0.01819482 -0.31550947 -0.768406   -0.30248126  0.0881663  -0.38803753
 -0.18924162 -0.7419981   0.62840146 -0.01461369 -0.5864941  -0.49434668
 -0.2627326  -0.12849188 -0.36067408  0.13733011]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
48,16,48,1,1,1,0,5390.0,[-1.619986    0.80507773 -0.46883473],"[ 0.90185714  0.7595684   0.40503854  0.81943846  0.8665061   0.11242905
  0.19775102  0.17891887  0.5440268   0.5249574   0.7570607   0.3482015
  0.7880292  -0.45682162  0.48313832  0.24273339]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
49,16,49,1,1,1,0,5390.0,[ 0.92667615  0.35420567 -0.60273576],"[ 0.68910295 -0.90625024  0.41241577  0.83583975 -0.18624997  0.7811312
 -0.14319971  0.00100535  0.76670516  0.5525423  -0.25751197 -0.2731933
 -0.18078572 -0.10632873 -0.17289686 -0.25073385]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
50,16,50,1,1,1,0,5390.0,[ 0.39679897 -0.3820061  -0.3962877 ],"[-0.4540033  -0.3807816  -0.7387254  -0.21780753 -0.15697008  0.44471008
  0.16553876  0.01040742 -0.03507456  0.02102193 -0.01210949 -0.54366326
 -0.01207066 -0.34528238 -0.7250723   0.5546793 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
51,16,51,1,1,1,0,5390.0,[ 0.7688645  -0.3687396   0.02181701],"[ 0.32577857  0.3685307   0.806052    0.5072498  -0.21914041 -0.16423875
 -0.4263049  -0.15145767 -0.31799048 -0.13883352 -0.28339806 -0.0662922
  0.24548852  0.83522356  0.09152222  0.2509804 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
52,16,52,1,1,1,0,5390.0,[-0.9604663   0.9275795  -0.04383798],"[ 0.93428946  0.94921035  0.8648282   0.60255736  0.30241224  0.86596113
  0.71213084  0.786567    0.7607984   0.66505194  0.8208066   0.72644186
 -0.02728364 -0.02563632  0.8447181   0.737573  ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
53,16,53,1,1,1,0,5390.0,[-1.7742085 -1.1708721 -0.8548157],"[-0.56943226  0.27705276 -0.292354   -0.40317252 -0.62799287 -0.48802462
 -0.49578416 -0.8539194  -0.663174   -0.6082727  -0.18506455 -0.4416926
 -0.2124362  -0.07739961 -0.39015457  0.00495449]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
54,16,54,1,1,1,0,5390.0,[ 0.13051836 -0.1927176  -0.2616847 ],"[-0.4037278  -0.01464054  0.22124213  0.12854773  0.41507116  0.15553153
 -0.3457836   0.6277554  -0.14123675  0.05289549 -0.5765761  -0.0665063
 -0.35124373 -0.6204401  -0.31630665  0.2772972 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
55,16,55,1,1,1,0,5390.0,[-0.15463687 -0.30832672 -0.32286167],"[ 0.3942753  -0.22519743  0.18746626  0.44719523  0.41340458 -0.68407273
 -0.21827412  0.15227193 -0.29889727 -0.74825037 -0.04013079 -0.47893164
  0.67001194  0.03148961  0.18680143 -0.80436313]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
56,16,56,1,1,1,0,5390.0,[ 0.07960332 -0.37614465  0.12984005],"[-0.59431    -0.3181026  -0.6534869  -0.16302237  0.27214062 -0.71050054
 -0.56782377 -0.7027842  -0.08623925  0.01514578  0.84805727  0.64741826
 -0.40085083  0.2551383   0.01287258  0.06079638]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
57,16,57,1,1,1,0,5390.0,[-0.9796017   0.89513224  0.01514664],"[ 0.35138452  0.41221654  0.9493825   0.3114904   0.9625465   0.12302366
  0.8389221   0.5643441   0.8429137  -0.03419483  0.82095397  0.5860371
 -0.16854963  0.8150665   0.81610745 -0.5572492 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
58,16,58,1,1,1,0,5390.0,[-1.2308602   0.49383694  0.03239646],"[-0.2243051   0.868458    0.6272602   0.9204495  -0.08762002  0.12249517
  0.02881581 -0.4130155   0.51370835  0.6400619  -0.3416512  -0.13109124
  0.80633414  0.9736271   0.01117805 -0.35521287]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
59,16,59,1,1,1,0,5390.0,[-0.614737    0.3435068  -0.30041286],"[-0.07990414 -0.20525673 -0.18469822 -0.61136925  0.14014304  0.40243345
  0.14271778 -0.1718435  -0.46709594  0.04056573  0.06443432 -0.06992841
 -0.3777904   0.03020129 -0.24448007 -0.07404977]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
60,16,60,1,1,1,0,5390.0,[ 0.69990975  0.16114843 -1.8233886 ],"[ 0.60760283  0.094679   -0.23805857  0.6949941  -0.1158652   0.6411186
  0.09948045 -0.42875752 -0.00784981  0.4274894  -0.0861848   0.08808386
  0.4367224  -0.31953394  0.09671944  0.14727259]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
61,16,61,1,1,1,0,5390.0,[-1.2964187 -0.1715651 -1.0128118],"[-0.522454    0.25223345 -0.7322832  -0.37977818 -0.13755155 -0.6558467
 -0.674709   -0.6500106   0.16689485 -0.5331223   0.40538174  0.41844943
  0.13092571 -0.32924372 -0.2902325   0.34186336]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
62,16,62,1,1,1,0,5390.0,[0.00184719 0.07781255 0.0770341 ],"[-0.71192265 -0.8049005  -0.38218397 -0.2916414  -0.61488587 -0.14039737
 -0.5919194  -0.0043394  -0.38858417  0.02660188  0.36168236 -0.32304373
  0.5844168   0.01656371 -0.46644396 -0.06717962]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
63,16,63,1,1,1,0,5390.0,[ 0.8195155   0.16525766 -0.2535581 ],"[ 0.10738569  0.4291184  -0.15020865  0.6576836   0.40830117  0.00143453
  0.0454686  -0.44448435  0.23808262  0.5884045   0.12618572 -0.11334321
 -0.6481961   0.79955256  0.40030402 -0.8192456 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
64,16,64,1,1,1,0,5390.0,[0.77803683 0.33370894 0.08565125],"[ 0.03908041  0.49481672 -0.27729392  0.9712052  -0.48861924  0.05694866
  0.6125663   0.6146985   0.9067739  -0.08731154 -0.09719667 -0.00659698
  0.10338256 -0.07471013  0.68386465  0.44093004]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
65,16,65,1,1,1,0,5390.0,[-0.5583129  -0.42328966  0.02620131],"[ 0.47136456  0.25039488 -0.31896827 -0.6979207   0.0615457  -0.8297961
 -0.70919794 -0.65052056  0.19144666 -0.33030006  0.57772547 -0.8980509
 -0.6263364  -0.18050942 -0.5511882  -0.23812565]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
66,16,66,1,1,1,0,5390.0,[ 0.44220173  0.0726762  -0.74536276],"[ 0.04550001 -0.67995703  0.00266418  0.5629243   0.31952977 -0.05797204
  0.12607872  0.04695415 -0.62863535  0.8172024   0.01269341 -0.01572779
  0.7982442   0.06043527 -0.7344041   0.6100857 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
67,16,67,1,1,1,0,5390.0,[ 1.0379665   0.47941798 -0.00684687],"[ 0.3442702   0.38273823 -0.6795445   0.464165    0.08610526  0.49723184
 -0.15973088 -0.5003593   0.3422765  -0.269332   -0.06047589  0.76626015
  0.6183357   0.28129613  0.6483443   0.7180135 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
68,16,68,1,1,1,0,5390.0,[-1.1585226   1.2395452   0.99577457],"[ 0.99775845 -0.71687555  0.99870175  0.06189463  0.6401377   0.9166474
 -0.03366655  0.8556367   0.907283   -0.07058918  0.8786374  -0.52744365
  0.8797734   0.98064274  0.76654184  0.30981007]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
69,16,69,1,1,1,0,5390.0,[-0.01183195 -0.18226235 -0.6784095 ],"[-0.5625266  -0.29978585  0.02370718  0.02888632 -0.6654619   0.635615
 -0.7334088  -0.28962338  0.48360342  0.6409614   0.147026   -0.5232507
 -0.08020169 -0.79396987  0.14618349  0.27289158]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
