WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 7 Model: 7 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 240/1000, Loss: 13.9096, Valid Loss: 15.0581
Epoch 241/1000, Loss: 14.6154, Valid Loss: 11.8429
Epoch 242/1000, Loss: 14.7793, Valid Loss: 19.3697
Epoch 243/1000, Loss: 14.8531, Valid Loss: 12.7912
Epoch 244/1000, Loss: 14.6637, Valid Loss: 10.6689
Epoch 245/1000, Loss: 14.3144, Valid Loss: 12.7642
Epoch 246/1000, Loss: 15.0000, Valid Loss: 16.4789
Epoch 247/1000, Loss: 15.2177, Valid Loss: 10.6438
Epoch 248/1000, Loss: 14.6217, Valid Loss: 15.5744
Epoch 249/1000, Loss: 14.4717, Valid Loss: 14.3943
Epoch 250/1000, Loss: 13.6995, Valid Loss: 13.5118
Epoch 251/1000, Loss: 13.4348, Valid Loss: 15.8353
Epoch 252/1000, Loss: 14.4568, Valid Loss: 14.1620
Epoch 253/1000, Loss: 14.4068, Valid Loss: 11.8464
Epoch 254/1000, Loss: 14.5790, Valid Loss: 13.1958
Epoch 255/1000, Loss: 15.4629, Valid Loss: 13.0724
Epoch 256/1000, Loss: 15.0145, Valid Loss: 15.7064
Epoch 257/1000, Loss: 15.0589, Valid Loss: 11.6765
Epoch 258/1000, Loss: 14.8256, Valid Loss: 11.8947
Epoch 259/1000, Loss: 14.6759, Valid Loss: 14.5116
Epoch 260/1000, Loss: 14.5541, Valid Loss: 16.0142
Epoch 261/1000, Loss: 14.1448, Valid Loss: 13.9272
Epoch 262/1000, Loss: 14.6966, Valid Loss: 15.3667
Epoch 263/1000, Loss: 14.2720, Valid Loss: 12.6876
Epoch 264/1000, Loss: 14.8937, Valid Loss: 15.1246
Epoch 265/1000, Loss: 14.3485, Valid Loss: 13.4849
Epoch 266/1000, Loss: 13.9133, Valid Loss: 16.4969
Epoch 267/1000, Loss: 15.5277, Valid Loss: 12.8897
Epoch 268/1000, Loss: 14.9594, Valid Loss: 15.4520
Epoch 269/1000, Loss: 15.5350, Valid Loss: 12.0196
Epoch 270/1000, Loss: 13.5198, Valid Loss: 12.9202
Epoch 271/1000, Loss: 15.3527, Valid Loss: 21.8861
Epoch 272/1000, Loss: 13.0174, Valid Loss: 12.8310
Epoch 273/1000, Loss: 14.0618, Valid Loss: 17.8955
Epoch 274/1000, Loss: 14.1923, Valid Loss: 13.5042
Epoch 275/1000, Loss: 14.4809, Valid Loss: 13.8170
Epoch 276/1000, Loss: 14.8851, Valid Loss: 17.4247
Epoch 277/1000, Loss: 14.6439, Valid Loss: 14.6943
Epoch 278/1000, Loss: 14.8754, Valid Loss: 12.4425
Epoch 279/1000, Loss: 14.3325, Valid Loss: 14.4729
Epoch 280/1000, Loss: 13.8008, Valid Loss: 13.6911
Epoch 281/1000, Loss: 14.1100, Valid Loss: 16.5820
Epoch 282/1000, Loss: 14.3399, Valid Loss: 14.8260
Epoch 283/1000, Loss: 14.0832, Valid Loss: 19.6031
Epoch 284/1000, Loss: 14.4373, Valid Loss: 19.1310
Epoch 285/1000, Loss: 14.8185, Valid Loss: 12.5469
Epoch 286/1000, Loss: 14.4482, Valid Loss: 11.3638
Epoch 287/1000, Loss: 13.6579, Valid Loss: 11.8720
Epoch 288/1000, Loss: 13.8044, Valid Loss: 12.9131
Epoch 289/1000, Loss: 14.7043, Valid Loss: 12.2853
