Epoch 241/1000, Loss: 15.5105, Valid Loss: 13.1970
Epoch 242/1000, Loss: 14.1746, Valid Loss: 15.3031
Epoch 243/1000, Loss: 14.8747, Valid Loss: 15.0270
Epoch 244/1000, Loss: 14.9400, Valid Loss: 15.3755
Epoch 245/1000, Loss: 14.5585, Valid Loss: 13.1004
Epoch 246/1000, Loss: 14.6795, Valid Loss: 13.8068
Epoch 247/1000, Loss: 14.9129, Valid Loss: 15.9469
Epoch 248/1000, Loss: 14.4350, Valid Loss: 16.0738
Epoch 249/1000, Loss: 13.9180, Valid Loss: 13.3078
Epoch 250/1000, Loss: 14.4206, Valid Loss: 17.2555
Epoch 251/1000, Loss: 15.2896, Valid Loss: 13.9414
Epoch 252/1000, Loss: 15.3256, Valid Loss: 13.1121
Epoch 253/1000, Loss: 15.4791, Valid Loss: 12.7858
Epoch 254/1000, Loss: 14.9479, Valid Loss: 16.5070
Epoch 255/1000, Loss: 14.3788, Valid Loss: 19.4468
Epoch 256/1000, Loss: 15.9103, Valid Loss: 12.1755
Epoch 257/1000, Loss: 15.5614, Valid Loss: 21.3605
Epoch 258/1000, Loss: 14.1566, Valid Loss: 12.7659
Epoch 259/1000, Loss: 14.5635, Valid Loss: 13.5458
Epoch 260/1000, Loss: 15.3585, Valid Loss: 14.1560
Epoch 261/1000, Loss: 15.3900, Valid Loss: 14.1965
Epoch 262/1000, Loss: 15.3219, Valid Loss: 16.8461
Epoch 263/1000, Loss: 15.1900, Valid Loss: 12.9123
Epoch 264/1000, Loss: 14.4314, Valid Loss: 12.0560
Epoch 265/1000, Loss: 14.9311, Valid Loss: 17.8498
Epoch 266/1000, Loss: 14.2969, Valid Loss: 17.5334
Epoch 267/1000, Loss: 14.5785, Valid Loss: 15.5885
Epoch 268/1000, Loss: 14.7393, Valid Loss: 14.4212
Epoch 269/1000, Loss: 15.1444, Valid Loss: 16.4833
Epoch 270/1000, Loss: 15.0019, Valid Loss: 12.3644
Epoch 271/1000, Loss: 15.2349, Valid Loss: 13.2825
Epoch 272/1000, Loss: 13.9139, Valid Loss: 19.4982
Epoch 273/1000, Loss: 14.0554, Valid Loss: 19.3022
Epoch 274/1000, Loss: 14.4830, Valid Loss: 14.6682
Epoch 275/1000, Loss: 14.1691, Valid Loss: 21.3847
Epoch 276/1000, Loss: 14.5774, Valid Loss: 16.1687
Epoch 277/1000, Loss: 14.6710, Valid Loss: 15.8957
Epoch 278/1000, Loss: 15.1090, Valid Loss: 14.3904
Epoch 279/1000, Loss: 15.0201, Valid Loss: 13.3036
Epoch 280/1000, Loss: 16.4904, Valid Loss: 11.8810
Epoch 281/1000, Loss: 14.8949, Valid Loss: 15.7116
Epoch 282/1000, Loss: 15.8201, Valid Loss: 15.1449
Epoch 283/1000, Loss: 15.0572, Valid Loss: 16.0710
Epoch 284/1000, Loss: 14.6759, Valid Loss: 15.0049
Epoch 285/1000, Loss: 14.6125, Valid Loss: 14.8522
Epoch 286/1000, Loss: 14.3509, Valid Loss: 12.6557
Epoch 287/1000, Loss: 14.7451, Valid Loss: 11.9361
Epoch 288/1000, Loss: 15.2348, Valid Loss: 18.3184
Epoch 289/1000, Loss: 14.4477, Valid Loss: 14.1015
Epoch 290/1000, Loss: 14.0410, Valid Loss: 16.3010
Epoch 291/1000, Loss: 15.7903, Valid Loss: 13.0309
Epoch 292/1000, Loss: 14.5689, Valid Loss: 16.2559
Epoch 293/1000, Loss: 14.6509, Valid Loss: 19.3102
Epoch 294/1000, Loss: 14.9985, Valid Loss: 17.5880
Epoch 295/1000, Loss: 15.1897, Valid Loss: 12.8852
Epoch 296/1000, Loss: 15.6617, Valid Loss: 16.9464
Epoch 297/1000, Loss: 14.7883, Valid Loss: 19.0211
Epoch 298/1000, Loss: 15.0266, Valid Loss: 13.0556
Epoch 299/1000, Loss: 15.0950, Valid Loss: 13.0577
Epoch 300/1000, Loss: 14.8488, Valid Loss: 12.4670
Epoch 301/1000, Loss: 15.4200, Valid Loss: 19.9361
Epoch 302/1000, Loss: 15.5777, Valid Loss: 14.2714
Epoch 303/1000, Loss: 15.0891, Valid Loss: 16.0455
Epoch 304/1000, Loss: 14.8440, Valid Loss: 14.1597
