WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
Exp: 7 Model: 7 mini_batch
Remember to switch the noise schedule for sampling!
Using EDM noise schedule with log_snr_min: -8.764053344726562, log_snr_max: 12.429216384887695
Kernel type: variance_preserving, noise schedule: edm-training
t_min: 0.9999853372573853, t_max: 1.6391277313232422e-06
alpha, sigma: (tensor(1.0000), tensor(0.0020)) (tensor(0.0125), tensor(0.9999))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_F_variance_preserving_edm-training_edm
Training F-model for 1000 epochs with learning rate 0.0005 and edm weighting.
Epoch 197/1000, Loss: 0.8747, Valid Loss: 0.8588
Epoch 198/1000, Loss: 0.8786, Valid Loss: 0.8604
Epoch 199/1000, Loss: 0.8785, Valid Loss: 0.8839
Epoch 200/1000, Loss: 0.8793, Valid Loss: 0.8820
Epoch 201/1000, Loss: 0.8726, Valid Loss: 0.8844
Epoch 202/1000, Loss: 0.8734, Valid Loss: 0.8704
Epoch 203/1000, Loss: 0.8709, Valid Loss: 0.8833
Epoch 204/1000, Loss: 0.8766, Valid Loss: 0.8575
Epoch 205/1000, Loss: 0.8843, Valid Loss: 0.8724
Epoch 206/1000, Loss: 0.8735, Valid Loss: 0.8613
Epoch 207/1000, Loss: 0.8778, Valid Loss: 0.8582
Epoch 208/1000, Loss: 0.8700, Valid Loss: 0.8800
Epoch 209/1000, Loss: 0.8775, Valid Loss: 0.8726
Epoch 210/1000, Loss: 0.8785, Valid Loss: 0.8849
Epoch 211/1000, Loss: 0.8722, Valid Loss: 0.8712
Epoch 212/1000, Loss: 0.8752, Valid Loss: 0.8761
Epoch 213/1000, Loss: 0.8689, Valid Loss: 0.8815
Epoch 214/1000, Loss: 0.8733, Valid Loss: 0.8702
Epoch 215/1000, Loss: 0.8782, Valid Loss: 0.8693
Epoch 216/1000, Loss: 0.8712, Valid Loss: 0.8666
Epoch 217/1000, Loss: 0.8784, Valid Loss: 0.8750
Epoch 218/1000, Loss: 0.8719, Valid Loss: 0.8745
Epoch 219/1000, Loss: 0.8736, Valid Loss: 0.8590
Epoch 220/1000, Loss: 0.8678, Valid Loss: 0.8519
Epoch 221/1000, Loss: 0.8781, Valid Loss: 0.8657
Epoch 222/1000, Loss: 0.8740, Valid Loss: 0.8795
Epoch 223/1000, Loss: 0.8791, Valid Loss: 0.8698
Epoch 224/1000, Loss: 0.8739, Valid Loss: 0.8652
Epoch 225/1000, Loss: 0.8670, Valid Loss: 0.8834
Epoch 226/1000, Loss: 0.8746, Valid Loss: 0.8347
Epoch 227/1000, Loss: 0.8705, Valid Loss: 0.8860
Epoch 228/1000, Loss: 0.8651, Valid Loss: 0.8801
Epoch 229/1000, Loss: 0.8741, Valid Loss: 0.8661
Epoch 230/1000, Loss: 0.8788, Valid Loss: 0.8708
Epoch 231/1000, Loss: 0.8700, Valid Loss: 0.8656
Epoch 232/1000, Loss: 0.8744, Valid Loss: 0.8687
Epoch 233/1000, Loss: 0.8686, Valid Loss: 0.8727
Epoch 234/1000, Loss: 0.8800, Valid Loss: 0.8734
Epoch 235/1000, Loss: 0.8711, Valid Loss: 0.8859
Epoch 236/1000, Loss: 0.8727, Valid Loss: 0.8642
Epoch 237/1000, Loss: 0.8742, Valid Loss: 0.8617
Epoch 238/1000, Loss: 0.8739, Valid Loss: 0.8811
Epoch 239/1000, Loss: 0.8716, Valid Loss: 0.8707
Epoch 240/1000, Loss: 0.8674, Valid Loss: 0.8955
Epoch 241/1000, Loss: 0.8721, Valid Loss: 0.8550
