Epoch 287/1000, Loss: 15.3813, Valid Loss: 15.9458
Epoch 288/1000, Loss: 14.9641, Valid Loss: 11.3835
Epoch 289/1000, Loss: 14.6549, Valid Loss: 16.1207
Epoch 290/1000, Loss: 14.5786, Valid Loss: 12.8012
Epoch 291/1000, Loss: 14.7617, Valid Loss: 14.7847
Epoch 292/1000, Loss: 14.9277, Valid Loss: 17.7953
Epoch 293/1000, Loss: 14.5451, Valid Loss: 12.9424
Epoch 294/1000, Loss: 15.1920, Valid Loss: 15.0862
Epoch 295/1000, Loss: 14.4261, Valid Loss: 12.6265
Epoch 296/1000, Loss: 14.4847, Valid Loss: 16.2697
Epoch 297/1000, Loss: 14.6379, Valid Loss: 14.7204
Epoch 298/1000, Loss: 15.7485, Valid Loss: 13.2753
Epoch 299/1000, Loss: 16.0203, Valid Loss: 15.3852
Epoch 300/1000, Loss: 15.1132, Valid Loss: 16.0869
Epoch 301/1000, Loss: 14.9294, Valid Loss: 12.1982
Epoch 302/1000, Loss: 14.2201, Valid Loss: 22.3403
Epoch 303/1000, Loss: 14.8551, Valid Loss: 14.6687
Epoch 304/1000, Loss: 15.1960, Valid Loss: 14.2593
Epoch 305/1000, Loss: 14.8429, Valid Loss: 14.6608
Epoch 306/1000, Loss: 15.6353, Valid Loss: 12.2836
Epoch 307/1000, Loss: 14.7567, Valid Loss: 12.9812
Epoch 308/1000, Loss: 14.5339, Valid Loss: 13.6842
Epoch 309/1000, Loss: 15.0258, Valid Loss: 14.5334
Epoch 310/1000, Loss: 15.5624, Valid Loss: 16.2518
Epoch 311/1000, Loss: 14.6946, Valid Loss: 13.7110
Epoch 312/1000, Loss: 16.5669, Valid Loss: 12.6945
Epoch 313/1000, Loss: 15.2457, Valid Loss: 13.9268
Epoch 314/1000, Loss: 14.4249, Valid Loss: 14.5511
Epoch 315/1000, Loss: 14.8997, Valid Loss: 13.7522
Epoch 316/1000, Loss: 15.3292, Valid Loss: 14.1473
Epoch 317/1000, Loss: 15.0037, Valid Loss: 15.9819
Epoch 318/1000, Loss: 15.1683, Valid Loss: 14.0652
Epoch 319/1000, Loss: 14.8098, Valid Loss: 12.8652
Epoch 320/1000, Loss: 15.3861, Valid Loss: 15.3968
Epoch 321/1000, Loss: 14.8753, Valid Loss: 14.9767
Epoch 322/1000, Loss: 14.5916, Valid Loss: 12.8467
Epoch 323/1000, Loss: 14.5389, Valid Loss: 14.4199
Epoch 324/1000, Loss: 15.2327, Valid Loss: 23.5816
Epoch 325/1000, Loss: 16.5453, Valid Loss: 12.8181
Epoch 326/1000, Loss: 15.6303, Valid Loss: 13.8015
Epoch 327/1000, Loss: 14.9837, Valid Loss: 13.2867
Epoch 328/1000, Loss: 14.6601, Valid Loss: 16.5734
Epoch 329/1000, Loss: 14.5292, Valid Loss: 14.4531
Epoch 330/1000, Loss: 14.0070, Valid Loss: 16.8562
Epoch 331/1000, Loss: 15.2335, Valid Loss: 14.3392
Epoch 332/1000, Loss: 14.9389, Valid Loss: 15.9736
Epoch 333/1000, Loss: 14.7140, Valid Loss: 13.5943
Epoch 334/1000, Loss: 15.0756, Valid Loss: 19.0680
Epoch 335/1000, Loss: 14.5573, Valid Loss: 22.8021
Epoch 336/1000, Loss: 14.8739, Valid Loss: 15.4734
Epoch 337/1000, Loss: 14.1550, Valid Loss: 13.4210
Epoch 338/1000, Loss: 14.8505, Valid Loss: 16.9342
Epoch 339/1000, Loss: 14.5848, Valid Loss: 16.2670
Epoch 340/1000, Loss: 14.1989, Valid Loss: 14.8236
Epoch 341/1000, Loss: 14.6789, Valid Loss: 15.9260
Epoch 342/1000, Loss: 15.2580, Valid Loss: 14.8965
Epoch 343/1000, Loss: 15.4618, Valid Loss: 22.1317
Epoch 344/1000, Loss: 14.2391, Valid Loss: 17.8847
Epoch 345/1000, Loss: 15.2111, Valid Loss: 12.8478
Epoch 346/1000, Loss: 14.6520, Valid Loss: 15.4711
Epoch 347/1000, Loss: 15.2811, Valid Loss: 17.1860
Epoch 348/1000, Loss: 15.8137, Valid Loss: 12.8639
Epoch 349/1000, Loss: 14.1330, Valid Loss: 13.2764
Epoch 350/1000, Loss: 15.8906, Valid Loss: 14.4090
Epoch 351/1000, Loss: 14.8058, Valid Loss: 14.0279
Epoch 352/1000, Loss: 15.8347, Valid Loss: 13.8009
Epoch 353/1000, Loss: 14.2624, Valid Loss: 18.8817
Epoch 354/1000, Loss: 14.3319, Valid Loss: 12.7310
Epoch 355/1000, Loss: 15.0585, Valid Loss: 14.4759
Epoch 356/1000, Loss: 14.4247, Valid Loss: 13.9475
Epoch 357/1000, Loss: 15.4958, Valid Loss: 18.3140
Epoch 358/1000, Loss: 15.6061, Valid Loss: 14.3448
Epoch 359/1000, Loss: 15.1368, Valid Loss: 13.0575
Epoch 360/1000, Loss: 16.1485, Valid Loss: 19.5436
Epoch 361/1000, Loss: 14.1168, Valid Loss: 12.1368
Epoch 362/1000, Loss: 14.2636, Valid Loss: 13.1643
Epoch 363/1000, Loss: 15.0091, Valid Loss: 14.1947
Epoch 364/1000, Loss: 13.9438, Valid Loss: 18.1557
Epoch 365/1000, Loss: 14.4808, Valid Loss: 14.1272
Epoch 366/1000, Loss: 14.4407, Valid Loss: 13.8179
Epoch 367/1000, Loss: 14.9583, Valid Loss: 13.9124
