,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction,model_id
87,1000,87,100,1,1,0,3645.67,351.20069158201176,"[ 0.08778079 -0.16004604 -0.09257638 -0.09628635  0.13552451 -0.10926268
 -0.07491139  0.00068713  0.09179346 -0.23732592]",0.11531095,0.317,0.97699344,0.9779704350233076,0
88,1000,88,100,1,1,0,3645.67,164.20966391640948,"[ 0.17299908 -0.15158924  0.00565281 -0.02849621 -0.04116962 -0.13228329
  0.1035345   0.00207269 -0.05250938 -0.0577581 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
89,1000,89,100,1,1,0,3645.67,397.0666238278377,"[-0.0888517  -0.09887047  0.17009866 -0.06830572 -0.14869156  0.17627236
 -0.09019744 -0.19032884  0.19562411 -0.00889318]",0.11531095,0.317,0.97699344,0.9779704350233076,0
90,1000,90,100,1,1,0,3645.67,99.41865753400158,"[-0.11263041 -0.04162716  0.08126017 -0.02252718 -0.06707478  0.16673586
 -0.04880756 -0.13220394  0.16201982  0.14245689]",0.11531095,0.317,0.97699344,0.9779704350233076,0
91,1000,91,100,1,1,0,3645.67,268.64136318651964,"[ 0.00986554 -0.096265    0.04534866 -0.17760375 -0.05992286  0.1801439
  0.07633703  0.08164714  0.05184016  0.04151909]",0.11531095,0.317,0.97699344,0.9779704350233076,0
92,1000,92,100,1,1,0,3645.67,136.7563432705464,"[-0.12967171  0.14793119  0.11850761 -0.00893753 -0.02575159  0.27459848
 -0.10076423 -0.0205487  -0.02578056  0.2250281 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
93,1000,93,100,1,1,0,3645.67,103.28782258285524,"[ 0.21262927 -0.06148356 -0.00173807 -0.1552601  -0.00715791 -0.06310485
 -0.01406872  0.1839205  -0.05446911  0.02901625]",0.11531095,0.317,0.97699344,0.9779704350233076,0
94,1000,94,100,1,1,0,3645.67,421.9785067720795,"[ 0.04238188  0.02730798  0.0703072   0.26583135 -0.02747575  0.13046898
  0.0577517   0.1521471   0.13631225 -0.02427055]",0.11531095,0.317,0.97699344,0.9779704350233076,0
95,1000,95,100,1,1,0,3645.67,1331.6859764624246,"[-0.09288606 -0.14914033  0.23090154 -0.02944811 -0.01895943  0.02155966
  0.19863433 -0.09173106  0.20922545 -0.12897858]",0.11531095,0.317,0.97699344,0.9779704350233076,0
96,1000,96,100,1,1,0,3645.67,22.10131197992176,"[-0.00503245  0.06512097  0.00625995 -0.00190348  0.00450865  0.0241378
  0.0233723   0.16321698  0.05283824  0.07625193]",0.11531095,0.317,0.97699344,0.9779704350233076,0
97,1000,97,100,1,1,0,3645.67,441.3539245099847,"[-0.06831492 -0.01568624 -0.0110548   0.12321077  0.20824696 -0.09399283
 -0.0605261  -0.00875179 -0.02770344 -0.1409137 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
98,1000,98,100,1,1,0,3645.67,328.3497183898073,"[ 0.05772556  0.00769325 -0.0679988   0.01394425 -0.00493137 -0.08252939
 -0.12421837  0.08370019  0.15229577  0.02429925]",0.11531095,0.317,0.97699344,0.9779704350233076,0
